day,hits,views,bandwidth
2022-10-03,44,42,1049654
2022-10-04,54,47,419865
2022-10-05,137,132,7138479
2022-10-06,43,40,198942
2022-10-07,74,71,2731057
2022-10-08,61,57,871608
2022-10-09,42,41,6338861
2022-10-10,38,38,7958467
2022-10-11,33,32,166390
2022-10-12,31,30,1249503
2022-10-13,49,46,56928769
2022-10-14,17,16,56852
2022-10-15,75,69,8038507
2022-10-16,29,29,998013
2022-10-17,32,29,3044548
2022-10-18,31,28,536320
2022-10-19,23,22,780726
2022-10-20,150,145,9793071
2022-10-21,35,33,513811
2022-10-22,55,52,41337096
2022-10-23,117,108,102511371
2022-10-24,19,18,534429
2022-10-25,78,68,14272230
2022-10-26,137,130,17195547
2022-10-27,87,85,11501567
2022-10-28,39,37,9804584
2022-10-29,55,55,1884060
2022-10-30,50,49,1049400
2022-10-31,71,61,5711158
2022-11-01,27,24,6336156
2022-11-02,12,10,343447
2022-11-03,13,13,493336
2022-11-04,71,63,36856694
2022-11-05,209,191,61550903
2022-11-06,48,43,916463
2022-11-07,105,84,7565932
2022-11-08,132,130,9584349
2022-11-09,58,52,5208244
2022-11-10,50,47,95148635
2022-11-11,201,192,2556470
2022-11-12,48,47,401772
2022-11-13,118,117,3642396
2022-11-14,36,36,931383
2022-11-15,48,41,570875
2022-11-16,18,18,319441
2022-11-17,34,30,220145
2022-11-18,23,23,102984
2022-11-19,32,30,46219
2022-11-20,22,21,470333
2022-11-21,39,36,6568723
2022-11-22,168,165,9172598
2022-11-23,31,30,161187
2022-11-24,12,11,40058
2022-11-25,22,20,910475
2022-11-26,41,40,2095506
2022-11-27,53,53,1415775
2022-11-28,28,23,601580
2022-11-29,44,38,1727152
2022-11-30,63,57,1623458
2022-12-01,53,47,2213949
2022-12-02,31,31,42128573
2022-12-03,50,45,2884697
2022-12-04,81,71,4388118
2022-12-05,71,61,1686106
2022-12-06,14,14,28429
2022-12-07,22,21,1758221
2022-12-08,77,63,3203479
2022-12-09,109,100,5033934
2022-12-10,48,43,1586304
2022-12-11,81,69,2140180
2022-12-12,27,27,2043407
2022-12-13,31,29,252519
2022-12-14,22,22,37376
2022-12-15,75,73,21058962
2022-12-16,72,70,2778656
2022-12-17,48,44,9403345
2022-12-18,47,45,870261
2022-12-19,58,56,1715431
2022-12-20,146,141,9238661
2022-12-21,62,57,47426741
2022-12-22,28,28,696857
